rotten_tomatoes_link,movie_title,movie_info,critics_consensus,genres,directors,authors,tomatometer_rating,audience_rating,tomatometer_count,audience_count
m/await_further_instructions,Await Further Instructions,"On Christmas Day, a family wakes up to find a mysterious black substance surrounding its house, and its TV screen broadcasts a single message: ""Stay Indoors and Await Further Instructions.""","A yuletide nightmare full of familial angst and slithering scares, Await Further Instructions is a genre treat that pretty much any horror fan will want in their stocking.",Horror,Johnny Kevorkian,Gavin Williams,80.0,28.0,20.0,634.0
m/16_blocks,16 Blocks,"Boozy and world-weary, NYPD Detective Jack Mosley (Bruce Willis) draws a routine assignment to transport trial witness Eddie Bunker (Mos Def) to the courthouse by 10 a.m. The task quickly becomes a deadly game of cat-and-mouse when some of Jack's fellow officers arrive to kill Eddie so that he cannot testify against them. Jack sees a way to redeem his wasted life by protecting the affable Eddie from the would-be assassins.","Despite strong performances from Bruce Willis and Mos Def, 16 Blocks is a shopworn entry in the buddy-action genre.","Action & Adventure, Drama, Mystery & Suspense",Richard Donner,Richard Wenk,56.0,57.0,162.0,163966.0
m/battleship_potemkin,Battleship Potemkin,"When they are fed rancid meat, the sailors on the Potemkin revolt against their harsh conditions. Led by Vakulinchuk (Aleksandr Antonov), the sailors kill the officers of the ship to gain their freedom. Vakulinchuk is also killed, and the people of Odessa honor him as a symbol of revolution. Tsarist soldiers arrive and massacre the civilians to quell the uprising. A squadron of ships is sent to overthrow the Potemkin, but the ships side with the revolt and refuse to attack.","A technical masterpiece, Battleship Potemkin is Soviet cinema at its finest, and its montage editing techniques remain influential to this day.","Art House & International, Classics, Drama",Sergei M. Eisenstein,"Sergei M. Eisenstein, Nina Agadzhanova, Nina Agadzhanova-Shutko",100.0,86.0,48.0,18920.0
m/madness_of_king_george,The Madness of King George,"Aging King George III (Nigel Hawthorne) of England is exhibiting signs of madness, a problem little understood in 1788. As the monarch alternates between bouts of confusion and near-violent outbursts of temper, his hapless doctors attempt the ineffectual cures of the day. Meanwhile, Queen Charlotte (Helen Mirren) and Prime Minister William Pitt the Younger (Julian Wadham) attempt to prevent the king's political enemies, led by the Prince of Wales (Rupert Everett), from usurping the throne.","Thanks largely to stellar all-around performances from a talented cast, The Madness of King George is a funny, entertaining, and immensely likable adaptation of the eponymous stage production.","Comedy, Drama",Nicholas Hytner,Alan Bennett,93.0,80.0,44.0,8369.0
m/like_father_2018,Like Father,"Left at the altar, a young executive takes her Caribbean honeymoon cruise with the last person she ever expected -- her estranged father. Although they depart as strangers, they soon gain a new appreciation for love, life, family and each other.",Like Father unites an alarmingly talented cast for a predictable rom-com that does nothing to counter the negative stereotypes surrounding the genre.,Comedy,Lauren Miller,Lauren Miller,46.0,46.0,41.0,544.0
m/battle_royale,Battle Royale,"42 9th graders are sent to a deserted island. They are given a map, food, and various weapons. An explosive collar is fitted around their neck. If they break a rule, the collar explodes. Their mission: kill each other and be the last one standing. The last survivor is allowed to leave the island. If there is more than one survivor, the collars explode and kill them all.","Battle Royale is a controversial and violent parable of adolescence, heightening teenage melodrama with life-or-death stakes.","Action & Adventure, Art House & International, Drama, Mystery & Suspense",Kinji Fukasaku,Kenta Fukasaku,88.0,89.0,48.0,86586.0
m/girl_model,Girl Model,Filmmakers chronicle a 13-year-old Russian girl's experiences as she tries to fulfill her dream of becoming a model in Japan.,,"Documentary, Mystery & Suspense, Special Interest","Ashley Sabin, David Redmon",,92.0,55.0,36.0,4239.0
m/the_outlaw_1943,The Outlaw,"The life of legendary outlaw Billy the Kid, including his partnership with Doc Holliday and his clashes with lawman Pat Garrett. The film was notorious in its day because of producer/director Howard Hughes concentration on newcomer Jane Russell's cleavage, and national release in America was delayed by some years.",,"Action & Adventure, Classics, Drama, Mystery & Suspense, Western, Romance","Howard Hawks, Howard Hughes",Jules Furthman,73.0,31.0,11.0,1552.0
m/run_ronnie_run,Run Ronnie Run!,"Uneducated, unemployed, and unrefined, Ronnie passes his days in the small Georgia town of Doraville, drinking beer and terrorizing the town's residents. Thrice divorced to Tammy, the love of his life and mother of his many children, Ronnie wishes nothing more than to regain her hand in marriage. However, fed up with Ronnie's crass behavior and inability to stay out of trouble, she refuses his latest proposal, throwing Ronnie's life into a spin.",,Comedy,Troy Miller,"David Cross, Bob Odenkirk, Brian Posehn, B.J. Porter, Scott Aukerman",71.0,72.0,7.0,7649.0
m/time_crimes,Los Cronocrímenes (Timecrimes),"Nacho Vigalondo's time-travel thriller opens with Hector spying on a beautiful woman undressing in the woods near his property. Investigating, he finds her assaulted and he in turn is attacked by a man whose head is swathed in bandages. Fleeing, Hector encounters a scientific facility where a scientist persuades him to hide in a time machine. Traveling back in time just a few hours, he observes himself.",Timecrimes is a low-budget thriller that's well-crafted and loaded with dark humor and bizarre twists.,"Action & Adventure, Art House & International, Mystery & Suspense, Science Fiction & Fantasy",Nacho Vigalondo,Nacho Vigalondo,89.0,79.0,71.0,8774.0
m/instant_family,Instant Family,"When Pete and Ellie decide to start a family, they stumble into the world of foster care adoption. They hope to take in one small child, but when they meet three siblings, including a rebellious 15-year-old girl, they find themselves speeding from zero to three kids overnight. Now, Pete and Ellie must try to learn the ropes of instant parenthood in the hope of becoming a family.","Instant Family may not quite capture the complexity of real-life adoption, but fittingly for the unconditional bond it honors, this flawed yet well-intentioned dramedy is ultimately worth the investment.",Comedy,Sean Anders,"Sean Anders, John Morris",80.0,82.0,152.0,3498.0
m/x_men_first_class,X-Men: First Class,"In the early 1960s, during the height of the Cold War, a mutant named Charles Xavier (James McAvoy) meets a fellow mutant named Erik Lehnsherr (Michael Fassbender). Despite their vastly different backgrounds -- Charles grew up with a wealthy family, while Erik lost his parents at Auschwitz -- the two become close friends. As the world teeters on the brink of a nuclear war, Charles and Erik with other mutants join forces to save humanity. However, a situation soon tears the friends apart.","With a strong script, stylish direction, and powerful performances from its well-rounded cast, X-Men: First Class is a welcome return to form for the franchise.","Action & Adventure, Drama, Science Fiction & Fantasy",Matthew Vaughn,"Jane Goldman, Ashley Edward Miller, Matthew Vaughn, Zack Stentz",86.0,87.0,295.0,184628.0
m/left_behind_2014,Left Behind,"The entire planet is thrown into mayhem when millions of people disappear without a trace -- all that remains are their clothes and belongings. Unmanned vehicles crash and planes fall from the sky, overwhelming emergency forces and causing massive gridlock, riots and chaos. Airline pilot Ray Steele (Nicolas Cage) struggles to save the lives of the passengers who remain on his flight, while his daughter (Cassi Thomson) races to find her brother and mother, both of whom have disappeared.","Yea verily, like unto a plague of locusts, Left Behind hath begat a further scourge of devastation upon Nicolas Cage's once-proud filmography.",Mystery & Suspense,Vic Armstrong,"John Patus, Paul Lalonde",1.0,38.0,68.0,20635.0
m/three_burials_of_melquiades_estrada,The Three Burials of Melquiades Estrada,"When brash Texas border officer Mike Norton (Barry Pepper) wrongfully kills and buries the friend and ranch hand of Pete Perkins (Tommy Lee Jones), the latter is reminded of a promise he made to bury his friend, Melquiades Estrada (Julio Cesar Cedillo), in his Mexican home town. He kidnaps Norton and exhumes Estrada's corpse, and the odd caravan sets out on horseback for Mexico. As Estrada's body begins to rot, Norton begins to unravel, but Perkins remains determined to honor his vow.",Tommy Lee Jones' directorial debut is both a potent western and a powerful morality tale.,"Drama, Western",Tommy Lee Jones,"Guillermo Arriaga, Guillermo Arriaga Jordan",85.0,81.0,149.0,33733.0
m/songs_from_the_north,Songs From The North,Filmmaker Soon-Mi Yoo tries to understand the psychology and popular imagination of the North Korean people.,,"Documentary, Special Interest",Soon-Mi Yoo,Soon-Mi Yoo,100.0,42.0,6.0,178.0
m/carlitos_way,Carlito's Way,"A free man after years in prison, Carlito Brigante (Al Pacino) intends to give up his criminal ways, but it's not long before the ex-con is sucked back into the New York City underworld. Reconnecting with his dancer girlfriend, Gail (Penelope Ann Miller), Carlito gets entangled in the shady dealings of his friend Dave Kleinfeld (Sean Penn), who also serves as his lawyer. When Carlito and Kleinfeld run afoul of shifty gangster Benny Blanco (John Alberto Leguizamo), it sets them on a dangerous path.","Carlito's Way reunites De Palma and Pacino for a more wistful take on the crime epic, delivering a stylish thriller with a beating heart beneath its pyrotechnic performances and set pieces.",Drama,Brian DePalma,David Koepp,81.0,91.0,48.0,124649.0
m/stand_clear_of_the_closing_doors,Stand Clear Of The Closing Doors,"Ricky, an autistic teen living in Queens, has a difficult time fitting in at school. He is scolded for skipping class and hides out in the subway as Hurricane Sandy closes in on the city.","Unassuming yet irrevocably absorbing, Stand Clear of the Closing Doors uses a refreshing perspective to explore universal themes.",Drama,Sam Fleischner,"Rose Lichter-Marck, Micah Bloomberg",88.0,54.0,34.0,607.0
m/who_is_dayani_cristal_2013,Who Is Dayani Cristal?,The attempt to identify human remains found in Arizona's Sonora Desert underscores the plight of illegal immigrants attempting to enter the United States.,,"Documentary, Special Interest","Gael García Bernal, Marc Silver",Mark Monroe,80.0,79.0,25.0,324.0
m/lincoln_lawyer,The Lincoln Lawyer,"Mick Haller (Matthew McConaughey) is a charismatic defense attorney who does business out of his Lincoln Continental sedan. Mick spends most of his time defending petty crooks and other bottom-feeders, so it comes as quite a surprise when he lands the case of a lifetime: defending a Beverly Hills playboy (Ryan Phillippe) who is accused of attempted murder. However, what Mick initially thinks is an open-and-shut case with a big monetary reward develops into something more sinister.","It doesn't offer any twists on the predictable courtroom thriller formula, but with a charming Matthew McConaughey leading its solid cast, The Lincoln Lawyer offers briskly enjoyable entertainment.","Drama, Mystery & Suspense",Brad Furman,John Romano,83.0,82.0,175.0,68747.0
m/dreadnaught,Dreadnaught,A laundryman (Biao Yuen) seeks revenge against the violent criminal (Shun-Yee Yuen) who killed his best friend.,,"Action & Adventure, Art House & International, Comedy",Woo-ping Yuen,Jing Wong,60.0,85.0,5.0,1494.0
